education,customer_id,age,marital,job,default,balance,housing,loan
tertiary,101128,58.0,married,management,no,211,no,no
secondary,101135,41.0,single,blue-collar,no,277,yes,no
tertiary,101147,23.0,single,management,no,2605,yes,no
primary,101149,51.0,married,management,no,98,yes,no
secondary,101153,27.0,single,student,no,671,yes,no
secondary,101158,47.0,married,blue-collar,no,438,yes,no
tertiary,101180,43.0,married,technician,no,743,yes,no
secondary,101188,30.0,married,blue-collar,no,309,yes,no
primary,101190,37.0,married,blue-collar,no,321,yes,no
tertiary,101191,39.0,married,blue-collar,no,-33,yes,no
tertiary,101192,33.0,single,management,no,76,yes,no
primary,101199,47.0,married,blue-collar,no,117,yes,no
primary,101208,43.0,married,blue-collar,no,487,yes,no
tertiary,101225,29.0,married,management,no,199,yes,yes
secondary,101227,46.0,married,technician,no,1571,yes,no
tertiary,101241,46.0,single,blue-collar,no,460,yes,no
secondary,101265,30.0,married,services,no,442,yes,no
tertiary,101266,32.0,single,management,no,111,yes,no
SECONDARY,101267,29.0,single,technician,no,247,yes,no
tertiary,101273,31.0,single,technician,no,703,yes,no
primary,101274,39.0,married,blue-collar,no,70,no,no
primary,101284,38.0,married,blue-collar,no,54,yes,no
tertiary,101287,41.0,married,management,no,141,yes,yes
primary,101288,57.0,married,retired,no,207,yes,no
tertiary,101294,35.0,divorced,management,no,3837,yes,no
SECONDARY,101300,43.0,married,blue-collar,yes,-7,no,no
primary,101301,32.0,single,blue-collar,no,611,yes,no
secondary,101305,28.0,married,blue-collar,no,134,yes,no
tertiary,101309,34.0,married,management,no,133,yes,no
tertiary,101314,31.0,single,management,no,7444,yes,yes
secondary,101318,32.0,single,blue-collar,no,5,yes,yes
secondary,101330,36.0,married,technician,no,5611,yes,no
tertiary,101335,31.0,married,self-employed,no,322,yes,no
secondary,101339,24.0,married,services,no,620,yes,no
secondary,101342,29.0,married,blue-collar,no,5903,yes,no
primary,101346,26.0,single,blue-collar,no,318,yes,no
secondary,101348,49.0,married,services,no,-8,yes,no
primary,101351,50.0,married,blue-collar,no,40,yes,no
tertiary,101358,35.0,married,self-employed,no,844,yes,no
primary,101359,49.0,married,admin.,no,458,yes,no
secondary,101374,41.0,married,admin.,no,55,yes,no
secondary,101384,38.0,married,blue-collar,no,4586,yes,no
secondary,101388,32.0,married,services,no,442,yes,no
secondary,101392,33.0,single,admin.,no,303,no,no
secondary,101395,36.0,single,technician,no,1832,yes,no
secondary,101407,54.0,married,services,no,841,yes,no
secondary,101416,44.0,single,admin.,no,-84,yes,no
secondary,101417,44.0,single,blue-collar,no,36,yes,no
SECONDARY,101419,36.0,married,blue-collar,no,0,no,no
secondary,101420,37.0,married,blue-collar,no,105,yes,no
primary,101423,55.0,married,entrepreneur,no,-24,yes,no
secondary,101427,30.0,married,technician,no,-1,yes,no
tertiary,101431,31.0,single,technician,no,491,yes,no
tertiary,101437,43.0,married,technician,no,2331,yes,no
secondary,101441,49.0,divorced,admin.,no,168,yes,yes
secondary,101446,42.0,married,admin.,no,323,yes,yes
secondary,101447,28.0,married,services,no,6,yes,no
secondary,101466,36.0,single,services,no,-45,yes,no
secondary,101471,28.0,divorced,admin.,no,785,yes,no
tertiary,101473,43.0,single,management,no,2067,yes,no
tertiary,101483,28.0,single,management,no,150,yes,no
primary,101494,28.0,married,blue-collar,no,113,yes,no
secondary,101497,39.0,single,services,no,-244,yes,no
unknown,101515,44.0,married,technician,no,185,yes,yes
tertiary,101517,43.0,divorced,management,no,388,yes,no
secondary,101537,30.0,single,blue-collar,no,648,yes,yes
primary,101545,32.0,married,blue-collar,no,289,yes,no
secondary,101546,58.0,DIVORCED,self-employed,no,613,yes,no
primary,101554,43.0,married,blue-collar,no,34,yes,no
secondary,101561,34.0,married,management,no,487,yes,no
primary,101563,43.0,married,blue-collar,no,-192,yes,no
tertiary,101584,34.0,married,management,no,76,no,no
secondary,101608,44.0,single,technician,no,365,yes,no
tertiary,101611,38.0,single,management,no,0,yes,no
secondary,101614,37.0,married,services,no,22,yes,yes
secondary,101618,27.0,married,blue-collar,no,106,yes,no
secondary,101621,37.0,single,unemployed,no,381,yes,no
secondary,101627,33.0,married,admin.,no,61,yes,yes
tertiary,101634,50.0,single,technician,no,0,yes,no
primary,101636,48.0,married,blue-collar,no,2642,yes,no
secondary,101637,36.0,married,technician,no,195,yes,no
primary,101643,50.0,married,blue-collar,no,749,no,no
primary,101682,34.0,married,blue-collar,no,298,yes,no
secondary,101685,33.0,married,ADMINISTRATION,no,4012,no,yes
secondary,101686,52.0,divorced,management,no,123,no,no
secondary,101688,54.0,married,unemployed,no,23,yes,no
tertiary,101690,35.0,married,management,yes,89,no,yes
secondary,101692,53.0,divorced,blue-collar,no,145,yes,no
primary,101705,41.0,married,blue-collar,no,-97,yes,no
primary,101712,49.0,married,blue-collar,no,216,yes,no
primary,101715,34.0,married,blue-collar,no,365,yes,no
secondary,101724,42.0,divorced,management,no,117,yes,no
primary,101733,49.0,married,blue-collar,no,186,yes,no
secondary,101742,44.0,married,blue-collar,no,85,yes,no
primary,101745,33.0,divorced,blue-collar,no,60,no,no
secondary,101747,35.0,single,blue-collar,no,40,yes,no
tertiary,101748,31.0,single,technician,no,22,yes,no
secondary,101749,36.0,single,technician,no,-333,yes,yes
secondary,101758,26.0,single,blue-collar,no,100,yes,no
secondary,101764,31.0,married,housemaid,no,0,yes,no
SECONDARY,101772,46.0,married,technician,no,332,yes,no
secondary,101775,43.0,single,blue-collar,no,3,yes,no
tertiary,101777,46.0,divorced,technician,no,288,yes,no
secondary,101784,40.0,divorced,housemaid,no,108,no,no
secondary,101789,31.0,married,admin.,no,307,yes,no
secondary,101790,35.0,married,blue-collar,yes,-198,yes,no
secondary,101792,28.0,single,blue-collar,no,759,yes,no
tertiary,101801,51.0,single,management,no,417,yes,no
secondary,101806,59.0,married,blue-collar,no,1407,yes,no
tertiary,101808,49.0,married,self-employed,no,1842,yes,no
tertiary,101814,31.0,single,unemployed,no,133,yes,no
secondary,101815,54.0,married,retired,no,785,yes,no
secondary,101823,54.0,married,admin.,no,222,yes,no
secondary,101842,29.0,divorced,admin.,no,0,no,no
tertiary,101845,27.0,single,management,no,118,yes,no
secondary,101846,22.0,single,admin.,no,-1,yes,no
secondary,101848,39.0,single,blue-collar,no,169,yes,no
secondary,101862,31.0,married,technician,no,1868,yes,no
secondary,101868,32.0,married,blue-collar,yes,-1,yes,no
secondary,101874,32.0,single,unemployed,no,331,yes,no
primary,101876,56.0,married,admin.,no,202,yes,no
tertiary,101877,34.0,single,management,no,318,yes,no
primary,101881,35.0,married,blue-collar,no,198,yes,no
secondary,101884,48.0,married,blue-collar,no,149,yes,no
secondary,101886,36.0,married,blue-collar,no,-9,yes,no
SECONDARY,101890,31.0,married,admin.,no,27,no,yes
primary,101895,42.0,married,blue-collar,no,479,yes,no
primary,101896,60.0,married,technician,no,65,yes,no
secondary,101907,26.0,single,blue-collar,no,82,yes,no
primary,101911,55.0,married,blue-collar,no,1373,no,no
secondary,101916,33.0,single,blue-collar,no,33,yes,no
secondary,101933,40.0,married,blue-collar,no,10,yes,no
secondary,101936,40.0,single,technician,no,360,yes,no
secondary,101943,31.0,married,blue-collar,no,1329,yes,yes
tertiary,101948,29.0,single,technician,no,433,yes,no
secondary,101951,28.0,single,blue-collar,no,-197,yes,no
secondary,101955,37.0,married,technician,no,277,yes,no
secondary,101957,53.0,married,blue-collar,no,-135,yes,no
secondary,101960,36.0,married,blue-collar,no,590,yes,no
primary,101964,33.0,divorced,blue-collar,no,390,yes,no
secondary,101985,32.0,single,blue-collar,no,2,no,no
secondary,101987,48.0,married,unemployed,no,855,yes,no
secondary,101996,35.0,single,technician,no,300,yes,no
tertiary,102001,35.0,single,management,no,-202,yes,no
secondary,102006,57.0,married,management,no,0,yes,no
tertiary,102007,38.0,single,entrepreneur,no,638,yes,no
secondary,102010,44.0,married,admin.,no,469,yes,no
secondary,102024,29.0,single,admin.,no,356,yes,no
secondary,102039,56.0,married,management,no,230,no,no
tertiary,102044,35.0,divorced,admin.,no,1555,yes,no
secondary,102045,31.0,single,services,yes,68,yes,no
secondary,102046,29.0,single,admin.,no,43,yes,no
secondary,102056,29.0,single,blue-collar,no,853,yes,no
primary,102062,37.0,married,blue-collar,no,1160,yes,no
secondary,102064,39.0,single,services,no,126,yes,no
secondary,102068,29.0,married,blue-collar,no,15,yes,yes
tertiary,102082,45.0,single,management,no,5694,yes,no
secondary,102083,34.0,single,blue-collar,no,297,yes,no
primary,102084,32.0,married,blue-collar,no,-89,yes,no
secondary,102095,27.0,single,technician,no,769,yes,no
secondary,102099,35.0,married,self-employed,no,351,yes,no
primary,102101,52.0,married,management,no,226,yes,no
primary,102112,53.0,married,blue-collar,no,-864,yes,no
secondary,102116,31.0,married,blue-collar,no,42,yes,no
secondary,102132,41.0,single,admin.,no,-256,no,yes
secondary,102134,32.0,single,services,no,85,yes,no
primary,102138,42.0,married,blue-collar,no,-10,yes,no
secondary,102139,34.0,divorced,blue-collar,no,-294,yes,no
SECONDARY,102140,34.0,married,technician,no,222,yes,no
secondary,102144,50.0,married,technician,no,103,yes,no
primary,102154,45.0,married,blue-collar,no,101,yes,no
tertiary,102158,25.0,married,management,no,784,yes,yes
tertiary,102161,25.0,married,student,no,333,yes,no
secondary,102165,44.0,divorced,services,no,210,no,yes
primary,102171,42.0,married,blue-collar,no,-25,yes,no
secondary,102175,49.0,married,technician,no,4785,no,no
primary,102176,59.0,divorced,retired,no,121,yes,no
unknown,102178,60.0,married,blue-collar,no,231,yes,no
tertiary,102182,43.0,single,technician,no,16,yes,no
primary,102183,51.0,married,blue-collar,yes,-283,yes,no
secondary,102190,57.0,married,unemployed,no,3867,yes,no
tertiary,102197,32.0,single,management,no,311,no,no
secondary,102200,28.0,single,blue-collar,yes,-871,yes,no
secondary,102201,33.0,divorced,blue-collar,no,75,yes,yes
SECONDARY,102203,25.0,married,services,no,-454,yes,no
primary,102216,52.0,single,blue-collar,no,210,yes,no
primary,102217,40.0,divorced,blue-collar,no,737,yes,yes
secondary,102224,43.0,single,self-employed,no,798,yes,no
secondary,102229,35.0,married,blue-collar,no,362,yes,no
secondary,102231,41.0,married,self-employed,no,304,yes,no
secondary,102237,27.0,married,technician,no,-302,yes,no
secondary,102276,29.0,single,services,no,-72,yes,no
primary,102292,56.0,married,retired,no,13,yes,no
secondary,102299,29.0,married,unemployed,no,380,no,yes
secondary,102303,25.0,single,technician,no,276,yes,no
SECONDARY,102312,29.0,divorced,services,no,330,yes,no
secondary,102313,56.0,married,admin.,no,2087,yes,no
secondary,102314,28.0,single,services,no,-260,yes,no
secondary,102315,44.0,married,blue-collar,no,236,yes,no
secondary,102321,37.0,married,blue-collar,no,454,yes,no
tertiary,102336,24.0,single,student,no,1535,yes,no
tertiary,102337,45.0,single,management,no,0,no,no
tertiary,102341,35.0,divorced,management,no,538,yes,no
secondary,102342,32.0,DIVORCED,admin.,yes,-18,yes,no
tertiary,102351,57.0,single,management,no,73,no,no
secondary,102364,33.0,single,entrepreneur,no,339,yes,no
secondary,102378,39.0,married,blue-collar,no,23,yes,no
primary,102383,40.0,married,blue-collar,no,570,yes,no
secondary,102385,34.0,single,admin.,no,1504,yes,no
secondary,102388,32.0,divorced,technician,no,1097,yes,no
secondary,102413,37.0,single,blue-collar,no,336,yes,no
primary,102417,48.0,married,blue-collar,no,762,yes,no
secondary,102418,22.0,single,housemaid,no,650,yes,no
secondary,102424,28.0,married,technician,no,487,yes,no
secondary,102427,26.0,divorced,ADMINISTRATION,yes,-3,yes,no
primary,102429,35.0,married,blue-collar,no,414,no,no
tertiary,102430,44.0,single,technician,no,166,yes,no
secondary,102436,27.0,single,admin.,no,-541,yes,yes
primary,102438,25.0,single,blue-collar,no,17,yes,no
secondary,102440,22.0,single,services,no,395,yes,no
secondary,102444,26.0,single,technician,no,24299,yes,no
secondary,102448,33.0,divorced,management,no,5,yes,no
tertiary,102454,31.0,married,management,no,334,yes,no
secondary,102464,21.0,single,student,no,99,yes,no
secondary,102466,32.0,married,unemployed,yes,2,yes,no
primary,102475,46.0,divorced,services,no,91,yes,no
tertiary,102478,38.0,married,management,no,119,yes,no
secondary,102484,26.0,single,blue-collar,no,309,yes,no
secondary,102488,24.0,single,services,yes,-122,yes,no
tertiary,102489,54.0,divorced,retired,no,0,no,no
primary,102499,33.0,married,blue-collar,no,1309,yes,no
secondary,102505,34.0,divorced,blue-collar,no,383,yes,no
primary,102507,57.0,married,management,no,1052,yes,no
secondary,102509,20.0,single,services,no,-103,yes,no
secondary,102511,41.0,married,admin.,no,705,yes,no
secondary,102525,29.0,single,blue-collar,no,783,yes,no
secondary,102530,25.0,single,services,no,382,yes,no
secondary,102544,58.0,married,technician,no,7495,yes,no
primary,102550,49.0,married,retired,no,2665,yes,no
secondary,102559,50.0,married,blue-collar,no,160,yes,no
secondary,102562,44.0,divorced,technician,no,181,no,no
secondary,102572,59.0,married,retired,no,2376,no,no
secondary,102573,30.0,married,blue-collar,no,-166,yes,yes
primary,102575,23.0,single,entrepreneur,no,4,yes,no
primary,102576,44.0,married,blue-collar,no,23,yes,no
primary,102584,60.0,married,blue-collar,no,1262,yes,yes
tertiary,102586,48.0,married,management,no,1949,yes,no
tertiary,102587,45.0,divorced,entrepreneur,no,-395,yes,no
tertiary,102598,146.0,married,management,no,48,no,no
unknown,102600,43.0,married,blue-collar,no,-633,yes,yes
tertiary,102605,59.0,married,retired,no,-892,yes,no
secondary,102608,36.0,married,blue-collar,no,1165,yes,no
secondary,102615,29.0,single,technician,no,309,yes,no
secondary,102619,56.0,married,retired,no,296,yes,no
unknown,102620,52.0,married,management,no,2240,yes,no
tertiary,102626,40.0,married,management,no,373,yes,yes
secondary,102635,27.0,married,blue-collar,no,0,yes,no
tertiary,102636,53.0,married,retired,no,1691,no,no
unknown,102638,44.0,single,admin.,no,3,yes,no
secondary,102643,35.0,married,services,no,-371,yes,no
secondary,102646,37.0,divorced,entrepreneur,no,175,yes,yes
secondary,102652,53.0,married,management,yes,-689,yes,no
secondary,102655,28.0,single,technician,no,26765,no,no
secondary,102658,46.0,single,admin.,no,751,yes,no
tertiary,102662,51.0,married,management,no,36,yes,no
primary,102674,46.0,married,blue-collar,no,0,yes,no
secondary,102679,55.0,married,technician,no,6958,yes,yes
tertiary,102680,44.0,married,management,no,126,yes,no
unknown,102689,57.0,divorced,management,no,0,no,no
secondary,102690,31.0,single,blue-collar,no,-745,yes,no
secondary,102691,54.0,married,services,no,88,yes,no
SECONDARY,102694,44.0,married,admin.,no,1423,yes,no
tertiary,102698,44.0,single,technician,no,607,yes,no
unknown,102713,38.0,single,admin.,no,446,yes,no
tertiary,102715,48.0,married,management,no,2218,yes,no
secondary,102729,46.0,single,technician,no,148,yes,no
secondary,102744,35.0,divorced,technician,no,556,yes,no
primary,102751,46.0,married,blue-collar,no,369,yes,no
primary,102752,58.0,married,blue-collar,no,1357,yes,no
secondary,102754,55.0,married,management,no,0,yes,no
secondary,102761,31.0,single,technician,no,849,yes,yes
tertiary,102767,31.0,married,technician,no,0,yes,yes
primary,102772,53.0,divorced,blue-collar,no,2477,yes,no
secondary,102773,44.0,married,self-employed,no,264,yes,no
secondary,102782,29.0,single,admin.,no,-44,yes,no
primary,102798,44.0,married,blue-collar,no,617,yes,no
primary,102804,35.0,single,blue-collar,no,-123,yes,no
primary,102810,35.0,divorced,blue-collar,no,300,yes,no
secondary,102821,43.0,married,technician,no,3285,yes,no
tertiary,102826,27.0,single,unemployed,no,37,yes,no
secondary,102829,28.0,single,technician,no,468,yes,no
secondary,102833,46.0,single,blue-collar,no,57,yes,no
tertiary,102850,38.0,divorced,management,no,547,yes,no
primary,102851,46.0,married,retired,no,1374,no,yes
secondary,102864,27.0,single,blue-collar,no,14,no,no
SECONDARY,102866,31.0,married,blue-collar,no,369,yes,yes
secondary,102868,52.0,married,housemaid,no,3923,yes,no
secondary,102871,41.0,married,technician,no,102,yes,yes
tertiary,102879,45.0,married,management,no,37378,yes,no
primary,102880,53.0,divorced,technician,no,1443,yes,no
primary,102893,47.0,married,blue-collar,no,4666,no,no
primary,102900,48.0,divorced,blue-collar,no,24,yes,no
secondary,102902,40.0,married,technician,no,770,yes,no
secondary,102906,50.0,divorced,blue-collar,no,204,yes,yes
tertiary,102913,45.0,married,management,no,740,yes,no
primary,102915,53.0,married,blue-collar,no,896,yes,no
primary,102922,41.0,single,blue-collar,no,1618,yes,no
tertiary,102932,39.0,divorced,management,no,517,yes,yes
SECONDARY,102946,59.0,married,retired,no,1521,yes,yes
tertiary,102955,31.0,married,management,no,0,no,no
secondary,102966,41.0,married,blue-collar,no,2823,yes,no
secondary,102969,46.0,married,admin.,no,3028,yes,yes
primary,102970,45.0,married,entrepreneur,no,2418,yes,no
secondary,102971,48.0,married,blue-collar,no,1405,yes,no
primary,102975,41.0,married,blue-collar,no,1654,yes,no
secondary,102977,48.0,married,technician,no,427,no,no
secondary,102982,48.0,married,technician,no,7373,yes,no
secondary,102983,40.0,married,admin.,no,1535,yes,no
primary,102984,47.0,married,blue-collar,no,2,yes,yes
tertiary,102990,25.0,single,technician,no,777,yes,no
secondary,102994,41.0,married,blue-collar,no,923,yes,no
secondary,102998,48.0,married,blue-collar,no,1596,yes,no
tertiary,103000,55.0,married,management,no,23189,yes,no
primary,103009,42.0,married,self-employed,no,3641,yes,no
primary,103021,34.0,married,blue-collar,no,357,yes,no
secondary,103022,40.0,married,technician,no,782,yes,no
secondary,103028,43.0,divorced,blue-collar,no,16,yes,no
primary,103029,45.0,married,blue-collar,no,1691,yes,no
primary,103030,60.0,married,retired,no,1542,yes,no
secondary,103036,56.0,married,blue-collar,no,1412,yes,no
secondary,103041,41.0,married,services,no,890,yes,no
unknown,103056,40.0,single,technician,no,3652,yes,no
primary,103059,52.0,single,blue-collar,no,2024,yes,no
secondary,103073,45.0,married,blue-collar,no,141,yes,yes
secondary,103079,56.0,divorced,blue-collar,no,166,yes,no
tertiary,103081,47.0,married,self-employed,no,4543,yes,no
secondary,103082,33.0,single,admin.,no,1613,yes,no
tertiary,103083,57.0,married,technician,no,-1,no,no
primary,103086,49.0,married,entrepreneur,no,-63,yes,no
secondary,103093,61.0,married,retired,no,4248,yes,no
secondary,103104,54.0,married,blue-collar,no,1480,yes,no
secondary,103105,51.0,married,blue-collar,no,7180,yes,no
SECONDARY,103124,60.0,married,blue-collar,no,751,yes,no
secondary,103128,36.0,married,admin.,no,998,yes,no
secondary,103133,37.0,married,admin.,no,766,yes,no
secondary,103145,51.0,married,unemployed,no,425,yes,no
tertiary,103156,44.0,married,management,no,474,yes,yes
tertiary,103177,47.0,divorced,management,no,4556,yes,no
secondary,103187,42.0,married,technician,no,645,yes,yes
primary,103193,55.0,married,blue-collar,no,680,yes,no
secondary,103229,36.0,married,admin.,no,402,yes,no
SECONDARY,103230,59.0,married,retired,no,5678,yes,no
primary,103237,42.0,married,blue-collar,no,321,yes,no
secondary,103241,29.0,married,blue-collar,no,416,yes,no
unknown,103242,36.0,married,blue-collar,no,-389,yes,no
tertiary,103244,34.0,married,management,no,82,no,no
SECONDARY,103245,35.0,married,technician,no,94,yes,yes
secondary,103246,41.0,divorced,blue-collar,no,5291,yes,no
secondary,103253,46.0,single,blue-collar,no,2612,yes,no
secondary,103262,43.0,married,services,no,0,yes,no
tertiary,103267,55.0,married,management,no,0,yes,no
secondary,103268,41.0,married,entrepreneur,no,718,yes,no
secondary,103271,30.0,single,admin.,yes,-35,yes,no
secondary,103279,34.0,single,services,no,719,yes,no
tertiary,103281,32.0,single,management,no,0,yes,no
